40	800	1.715	93.52	77.84	8.13	4.967	777.1	0
40	800	2.81	96.28	83.2	7.533	19.967	1019.67	36.44
40	900	1.83	93.93	86.23	10.47	1.933	795.57	0
40	900	2.91	96.41	86.65	7.2	24.967	968.63	24.74
40	1000	1.89	94.12	82.12	11.87	4.3	564.93	0
40	1000	3.425	96.95	94.33	10.133	34.6	643.4	31.45
40	1100	2.095	94.7	83.01	13.9	11.767	474.5	0
40	1100	3.4	96.93	82.88	10.6	33.9	603.17	19.37
40	1200	2.235	95.03	86.04	19.23	20.767	347.23	0
40	1200	3.845	97.3	75.97	15.7	54.5	405.83	31.19
35	800	1.39	92.01	82.33	11.47	1.733	685.97	0
35	800	2.015	94.82	82.19	9.533	26.4	660.3	16.53
35	900	1.705	93.48	90.36	14.67	8.5	477.57	0
35	900	2.75	96.7	83.05	14.567	35.567	642.9	19.73
35	1000	1.55	92.83	89.47	22.17	19.2	326.33	0
35	1000	3.165	96.7	89.29	17.1	44.867	408.6	21.72
35	1100	1.915	94.2	74.37	26.77	37.2	268.83	0
35	1100	2.81	96.28	91.49	21.1	50.167	329.73	18.62
35	1200	1.83	93.93	72.79	32.3	40.667	242.4	0
35	1200	2.725	96.17	85.73	25.167	56.733	284.77	13.87
30	800	1.17	90.5	65.03	16.53	11.3	477.37	0
30	800	2.365	95.58	90.2	10.3	22.833	653.47	7.63
30	900	1.365	91.86	83.33	19.9	20.567	367.5	0
30	900	2.935	96.44	92.31	14.067	40.667	530.5	19.84
30	1000	1.6	93.06	80.56	33.4	45.433	244.47	0
30	1000	2.445	95.73	90.11	20.467	47	325.03	4.84
30	1100	1.45	92.34	80.91	30.9	43.467	239.1	0
30	1100	2.525	96.43	84.24	24.633	61.433	262.07	22.12
30	1200	1.54	92.78	82.31	37.87	58.367	233.53	0
30	1200	2.725	96.17	94.59	29.333	67.133	234.67	2.5
25	800	1.085	89.76	43.91	21.03	18.3	352.67	0
25	800	1.775	94.12	88.76	17.8	30.967	455.7	15.69
25	900	1.08	93.83	80.63	27.03	30.7	303.07	0
25	900	2.05	94.91	82.65	19.967	41.733	335.37	29.79
25	1000	1.905	94.17	87.4	32.03	46.1	219.73	0
25	1000	2.115	95.06	80.98	28.733	55.367	249.43	50.87
25	1100	1.31	91.52	76.54	48.93	65.333	192.5	0
25	1100	3.105	96.64	83.82	34.9	66.067	242.6	43.72
25	1200	1.97	94.36	87.5	55.27	73.933	168.63	0
25	1200	2.96	96.47	86.47	48	74.933	180	21.71
20	800	0.87	87.23	83.89	30.27	34	245.7	0
20	800	1.74	94	90.12	23.033	42.333	309.93	11.32
20	900	1	88.89	79.17	42.17	53.9	211.4	0
20	900	2.02	94.83	86.21	34.1	60.733	234.13	19.35
20	1000	0.995	88.83	77.52	52.33	67.567	182.63	0
20	1000	2.06	94.93	87.12	49.367	73.2	226.03	24.02
20	1100	1.11	89.99	76.39	60.2	74.767	154.2	0
20	1100	2.085	94.99	88.83	48.567	81.633	191.1	35.88
20	1200	1.365	91.86	76.39	65.77	80.033	137.17	0
20	1200	2.425	95.69	84.38	62.033	86.967	156.33	32.95
